ATIVO,VALOR,DATA COM,DATA PAGAMENTO,TIPO,DY
TIMS3,"R$ 0,24785275",10/04/2023,18/04/2023,Dividendo,"1,91%"
VIVT3,"R$ 0,14365648",30/06/2022,18/04/2023,JCP,"0,31%"
VIVT3,"R$ 0,07464560",31/03/2022,18/04/2023,JCP,"0,14%"
VIVT3,"R$ 0,04481099",29/04/2022,18/04/2023,JCP,"0,09%"
VIVT3,"R$ 0,05369750",25/02/2022,18/04/2023,JCP,"0,11%"
VIVT3,"R$ 0,08987503",31/08/2022,18/04/2023,JCP,"0,21%"
VIVT3,"R$ 0,21490100",29/12/2022,18/04/2023,JCP,"0,56%"
BBDC3,"R$ 0,01724983",03/04/2023,02/05/2023,JCP,"0,15%"
BBDC4,"R$ 0,01897481",03/04/2023,02/05/2023,JCP,"0,15%"
BEEF3,"R$ 0,35662843",18/04/2023,02/05/2023,Dividendo,"3,91%"
ITUB4,"R$ 0,01765000",31/03/2023,02/05/2023,JCP,"0,07%"
MOTV3,"R$ 0,03654841",19/04/2023,02/05/2023,Dividendo,"0,28%"
RECV3,"R$ 0,44413839",26/04/2023,05/05/2023,Dividendo,"2,37%"
CXSE3,"R$ 0,50000000",27/04/2023,08/05/2023,Dividendo,"5,31%"
CXSE3,"R$ 0,01036931",27/04/2023,08/05/2023,Rend. Tributado,"0,11%"
TIMS3,"R$ 0,09501022",25/04/2023,09/05/2023,JCP,"0,69%"
AURE3,"R$ 1,50000000",04/05/2023,15/05/2023,Dividendo,"9,52%"
BRAP4,"R$ 0,17080448",26/12/2022,15/05/2023,JCP,"0,58%"
BRAP4,"R$ 1,23504780",27/04/2023,15/05/2023,Dividendo,"5,30%"
SANB11,"R$ 0,40326146",24/04/2023,15/05/2023,JCP,"1,51%"
STBP3,"R$ 0,03587262",18/04/2023,15/05/2023,Dividendo,"0,41%"
STBP3,"R$ 0,01498069",03/05/2023,15/05/2023,Dividendo,"0,18%"
CPFE3,"R$ 0,86786387",28/04/2023,16/05/2023,Dividendo,"2,80%"
KLBN11,"R$ 0,35269670",05/05/2023,16/05/2023,Dividendo,"1,77%"
CMIN3,"R$ 0,01599251",28/12/2022,17/05/2023,JCP,"0,39%"
CMIN3,"R$ 0,11520024",28/04/2023,17/05/2023,Dividendo,"2,55%"
CMIN3,"R$ 0,28257142",08/05/2023,17/05/2023,Dividendo,"6,08%"
CMIN3,"R$ 0,05094189",08/05/2023,17/05/2023,JCP,"1,10%"
CSNA3,"R$ 0,52786607",28/12/2022,17/05/2023,JCP,"3,62%"
CSNA3,"R$ 0,63106732",28/04/2023,17/05/2023,Dividendo,"4,44%"
CSNA3,"R$ 0,58604102",28/04/2023,17/05/2023,Dividendo,"4,12%"
SLCE3,"R$ 1,29859053",04/05/2023,18/05/2023,Dividendo,"2,92%"
PETR3,"R$ 0,06784528",27/04/2023,19/05/2023,Rend. Tributado,"0,26%"
PETR3,"R$ 1,37286685",27/04/2023,19/05/2023,Dividendo,"5,27%"
PETR4,"R$ 0,06784528",27/04/2023,19/05/2023,Rend. Tributado,"0,29%"
PETR4,"R$ 1,37286685",27/04/2023,19/05/2023,Dividendo,"5,90%"
RENT3,"R$ 0,36917694",28/03/2023,19/05/2023,JCP,"0,71%"
ALOS3,"R$ 0,25951207",28/04/2023,24/05/2023,Dividendo,"1,43%"
CURY3,"R$ 0,06329273",28/04/2023,25/05/2023,Dividendo,"0,51%"
ELET3,"R$ 0,22092894",27/04/2023,25/05/2023,Dividendo,"0,65%"
ELET6,"R$ 1,49365168",27/04/2023,25/05/2023,Dividendo,"4,06%"
VIVA3,"R$ 0,36326197",27/04/2023,26/05/2023,Dividendo,"1,80%"
GGBR4,"R$ 0,51000000",15/05/2023,29/05/2023,JCP,"2,06%"
GOAU4,"R$ 0,05000000",15/05/2023,30/05/2023,Dividendo,"0,44%"
GOAU4,"R$ 0,25000000",15/05/2023,30/05/2023,JCP,"2,19%"
CSAN3,"R$ 0,42857979",18/05/2023,31/05/2023,Dividendo,"2,65%"
RADL3,"R$ 0,04976491",05/10/2022,31/05/2023,JCP,"0,21%"
RADL3,"R$ 0,04792397",24/04/2023,31/05/2023,Dividendo,"0,19%"
RADL3,"R$ 0,05461993",07/12/2022,31/05/2023,JCP,"0,23%"
RAIL3,"R$ 0,06601749",19/04/2023,31/05/2023,Dividendo,"0,34%"
BBDC3,"R$ 0,01724983",02/05/2023,01/06/2023,JCP,"0,14%"
BBDC4,"R$ 0,01897481",02/05/2023,01/06/2023,JCP,"0,14%"
ITUB4,"R$ 0,01765000",28/04/2023,01/06/2023,JCP,"0,07%"
EQTL3,"R$ 0,35000000",28/04/2023,09/06/2023,Dividendo,"1,30%"
BBAS3,"R$ 0,32720996",01/06/2023,12/06/2023,JCP,"0,73%"
