ATIVO,VALOR,DATA COM,DATA PAGAMENTO,TIPO,DY
BBDC3,"R$ 0,01724983",01/12/2020,04/01/2021,JCP,"0,08%"
BBDC4,"R$ 0,01897481",01/12/2020,04/01/2021,JCP,"0,08%"
ITSA4,"R$ 0,02000000",30/11/2020,04/01/2021,Dividendo,"0,19%"
ITUB4,"R$ 0,01500000",30/11/2020,04/01/2021,Dividendo,"0,05%"
BBDC3,"R$ 0,37752123",28/12/2020,07/01/2021,JCP,"1,51%"
BBDC4,"R$ 0,41527335",28/12/2020,07/01/2021,JCP,"1,49%"
HYPE3,"R$ 0,29290000",23/10/2020,07/01/2021,JCP,"0,93%"
HYPE3,"R$ 0,29394000",27/03/2020,07/01/2021,JCP,"0,96%"
HYPE3,"R$ 0,29349000",26/06/2020,07/01/2021,JCP,"0,84%"
HYPE3,"R$ 0,29285000",28/12/2020,07/01/2021,JCP,"0,85%"
B3SA3,"R$ 0,04897397",30/12/2020,08/01/2021,JCP,"0,08%"
B3SA3,"R$ 0,13682604",30/12/2020,08/01/2021,Dividendo,"0,22%"
BEEF3,"R$ 0,04273475",30/12/2020,11/01/2021,JCP,"0,41%"
VBBR3,"R$ 0,42757684",21/12/2020,12/01/2021,JCP,"1,91%"
VBBR3,"R$ 0,00022360",21/12/2020,12/01/2021,Rend. Tributado,"0,00%"
ISAE4,"R$ 0,17605500",16/12/2020,18/01/2021,Dividendo,"0,61%"
ISAE4,"R$ 0,66149400",16/12/2020,18/01/2021,JCP,"2,28%"
TIMS3,"R$ 0,24086858",18/12/2020,22/01/2021,JCP,"1,67%"
ABEV3,"R$ 0,07670000",13/01/2021,28/01/2021,Dividendo,"0,47%"
MRVE3,"R$ 0,20709350",18/01/2021,28/01/2021,Dividendo,"1,00%"
EGIE3,"R$ 0,67956033",18/12/2020,29/01/2021,Dividendo,"1,50%"
EGIE3,"R$ 0,83057374",07/08/2020,29/01/2021,Dividendo,"1,79%"
BBDC3,"R$ 0,01724983",04/01/2021,01/02/2021,JCP,"0,07%"
BBDC4,"R$ 0,01897481",04/01/2021,01/02/2021,JCP,"0,07%"
ITUB4,"R$ 0,01500000",30/12/2020,01/02/2021,Dividendo,"0,05%"
SANB11,"R$ 0,17842145",08/01/2021,01/02/2021,JCP,"0,38%"
BPAC11,"R$ 0,15565633",06/01/2021,05/02/2021,JCP,"0,17%"
BPAC11,"R$ 0,14736203",22/07/2020,05/02/2021,JCP,"0,17%"
RENT3,"R$ 0,08490618",15/12/2020,05/02/2021,JCP,"0,13%"
ELET3,"R$ 1,43512963",03/02/2021,19/02/2021,Dividendo,"4,53%"
ELET6,"R$ 1,57864260",03/02/2021,19/02/2021,Dividendo,"4,87%"
BBSE3,"R$ 0,47480752",11/02/2021,25/02/2021,Dividendo,"1,64%"
BBSE3,"R$ 0,00131391",11/02/2021,25/02/2021,Rend. Tributado,"0,00%"
BBDC3,"R$ 0,01724983",01/02/2021,01/03/2021,JCP,"0,08%"
BBDC4,"R$ 0,01897481",01/02/2021,01/03/2021,JCP,"0,08%"
ITUB4,"R$ 0,01500000",29/01/2021,01/03/2021,Dividendo,"0,05%"
BBAS3,"R$ 0,21726549",22/02/2021,03/03/2021,JCP,"0,73%"
BBAS3,"R$ 0,00066632",22/02/2021,03/03/2021,Rend. Tributado,"0,00%"
SANB11,"R$ 0,13739397",12/02/2021,03/03/2021,Dividendo,"0,34%"
FLRY3,"R$ 0,23472380",06/01/2021,05/03/2021,JCP,"0,88%"
BBDC3,"R$ 0,01983753",17/02/2021,08/03/2021,JCP,"0,09%"
BBDC4,"R$ 0,02182128",17/02/2021,08/03/2021,JCP,"0,09%"
RDOR3,"R$ 0,13115596",04/01/2021,08/03/2021,JCP,"0,19%"
WEGE3,"R$ 0,17467885",26/02/2021,10/03/2021,Dividendo,"0,22%"
WEGE3,"R$ 0,01723529",25/09/2020,10/03/2021,JCP,"0,03%"
