ATIVO,VALOR,DATA COM,DATA PAGAMENTO,TIPO,DY
PETR3,"R$ 0,00027509",23/12/2024,20/03/2025,Rend. Tributado,"0,00%"
PETR3,"R$ 0,01706074",23/12/2024,20/03/2025,Rend. Tributado,"0,04%"
PETR4,"R$ 0,01053822",23/12/2024,20/03/2025,JCP,"0,03%"
PETR4,"R$ 0,65356508",23/12/2024,20/03/2025,Dividendo,"1,77%"
PETR4,"R$ 0,01706074",23/12/2024,20/03/2025,Rend. Tributado,"0,05%"
PETR4,"R$ 0,00027509",23/12/2024,20/03/2025,Rend. Tributado,"0,00%"
BBAS3,"R$ 0,14935148",11/03/2025,21/03/2025,JCP,"0,54%"
ISAE4,"R$ 0,78694500",11/03/2025,21/03/2025,JCP,"3,34%"
MULT3,"R$ 0,15482996",04/04/2024,24/03/2025,JCP,"0,62%"
ENGI11,"R$ 1,90000000",25/02/2025,28/03/2025,Dividendo,"4,54%"
RAIZ4,"R$ 0,01001412",02/08/2024,31/03/2025,Dividendo,"0,34%"
BBDC3,"R$ 0,01724983",05/03/2025,01/04/2025,JCP,"0,16%"
BBDC4,"R$ 0,01897481",05/03/2025,01/04/2025,JCP,"0,17%"
ITSA4,"R$ 0,02352950",28/02/2025,01/04/2025,JCP,"0,22%"
ITSA4,"R$ 0,02352950",28/02/2025,01/04/2025,JCP,"0,27%"
ITUB4,"R$ 0,01765000",28/02/2025,01/04/2025,JCP,"0,06%"
ALOS3,"R$ 0,10160254",21/03/2025,02/04/2025,JCP,"0,52%"
ABEV3,"R$ 0,12760000",14/03/2025,04/04/2025,Dividendo,"0,94%"
RDOR3,"R$ 0,18107197",26/03/2025,04/04/2025,JCP,"0,64%"
TOTS3,"R$ 0,14000000",24/03/2025,04/04/2025,JCP,"0,42%"
B3SA3,"R$ 0,06282808",25/03/2025,07/04/2025,JCP,"0,50%"
VIVT3,"R$ 0,36884885",26/12/2024,08/04/2025,JCP,"0,76%"
VIVT3,"R$ 0,12208230",26/08/2024,08/04/2025,JCP,"0,23%"
VIVT3,"R$ 0,19781208",26/07/2024,08/04/2025,JCP,"0,41%"
LREN3,"R$ 0,18775200",25/03/2025,09/04/2025,JCP,"1,49%"
PSSA3,"R$ 0,12691131",28/03/2025,10/04/2025,Dividendo,"0,32%"
PSSA3,"R$ 0,29935563",28/03/2024,10/04/2025,JCP,"0,95%"
PSSA3,"R$ 0,31918047",28/06/2024,10/04/2025,JCP,"1,03%"
PSSA3,"R$ 0,40982316",27/09/2024,10/04/2025,JCP,"1,12%"
ITSA4,"R$ 0,09224000",17/02/2025,22/04/2025,Dividendo,"0,93%"
TIMS3,"R$ 0,08262404",17/02/2025,22/04/2025,JCP,"0,47%"
TIMS3,"R$ 0,28225423",03/04/2025,22/04/2025,Dividendo,"1,54%"
BBDC3,"R$ 0,17957068",30/09/2024,30/04/2025,JCP,"1,37%"
BBDC4,"R$ 0,19752774",30/09/2024,30/04/2025,JCP,"1,34%"
IGTI11,"R$ 0,16888732",17/04/2025,30/04/2025,Dividendo,"0,85%"
SMFT3,"R$ 0,06697362",24/03/2025,30/04/2025,JCP,"0,32%"
BBDC3,"R$ 0,01724983",01/04/2025,02/05/2025,JCP,"0,15%"
BBDC4,"R$ 0,01897481",01/04/2025,02/05/2025,JCP,"0,15%"
ITUB4,"R$ 0,01765000",31/03/2025,02/05/2025,JCP,"0,06%"
VAMO3,"R$ 0,26826205",29/11/2024,02/05/2025,JCP,"4,63%"
AURE3,"R$ 0,05703266",24/04/2025,05/05/2025,Dividendo,"0,66%"
MGLU3,"R$ 0,30517547",25/04/2025,05/05/2025,Dividendo,"2,92%"
ALOS3,"R$ 0,10169247",22/04/2025,06/05/2025,Dividendo,"0,50%"
CURY3,"R$ 0,26620556",17/04/2025,06/05/2025,Dividendo,"0,97%"
CURY3,"R$ 0,26620556",17/04/2025,06/05/2025,Dividendo,"0,97%"
MOTV3,"R$ 0,15914123",23/04/2025,06/05/2025,Dividendo,"1,22%"
SANB11,"R$ 0,40191531",17/04/2025,08/05/2025,JCP,"1,48%"
YDUQ3,"R$ 0,57065660",28/04/2025,08/05/2025,Dividendo,"3,91%"
FLRY3,"R$ 0,46613950",06/03/2025,09/05/2025,Dividendo,"4,04%"
POMO4,"R$ 0,08500000",30/04/2025,09/05/2025,JCP,"1,20%"
ELET3,"R$ 0,89530084",29/04/2025,13/05/2025,Dividendo,"2,03%"
ELET6,"R$ 0,11104150",29/04/2025,13/05/2025,Dividendo,"0,23%"
BRAP4,"R$ 0,21022090",19/12/2024,15/05/2025,JCP,"1,24%"
BRAP4,"R$ 0,91971644",25/04/2025,15/05/2025,Dividendo,"5,20%"
CPLE6,"R$ 0,43835344",24/04/2025,15/05/2025,Dividendo,"3,77%"
CXSE3,"R$ 0,32017465",30/04/2025,15/05/2025,Dividendo,"1,98%"
SLCE3,"R$ 0,54632738",05/05/2025,15/05/2025,Dividendo,"2,77%"
RENT3,"R$ 0,45638485",26/03/2025,16/05/2025,JCP,"1,33%"
GGBR4,"R$ 0,12000000",08/05/2025,19/05/2025,Dividendo,"0,81%"
GOAU4,"R$ 0,08000000",08/05/2025,20/05/2025,Dividendo,"0,97%"
