open,high,low,close,volume,adjclose,dividends,splits,Ativo,Data
29.0,30.760000228881836,28.260000228881836,29.6299991607666,70198700,19.662809371948242,0.0,,BBSE3,01-12-2020
29.6299991607666,30.450000762939453,27.65999984741211,27.65999984741211,86915800,18.35549545288086,0.0,,BBSE3,01-01-2021
28.0,29.0,25.43000030517578,25.43000030517578,89982600,16.875640869140625,0.476121,,BBSE3,01-02-2021
25.68000030517578,25.700000762939453,23.520000457763672,24.25,194654200,16.36463165283203,0.0,,BBSE3,01-03-2021
24.510000228881836,24.59000015258789,22.190000534057617,22.329999923706055,143558900,15.068958282470703,0.0,,BBSE3,01-04-2021
22.6299991607666,23.770000457763672,21.959999084472656,23.399999618530273,105271100,15.79102897644043,0.0,,BBSE3,01-05-2021
23.450000762939453,25.56999969482422,23.100000381469727,23.100000381469727,128806800,15.588577270507812,0.0,,BBSE3,01-06-2021
23.149999618530273,23.420000076293945,21.299999237060547,21.3700008392334,140002100,14.421120643615723,0.0,,BBSE3,01-07-2021
21.59000015258789,21.889999389648438,18.860000610351562,19.059999465942383,153494200,12.862260818481445,0.520874,,BBSE3,01-08-2021
19.100000381469727,20.649999618530273,18.280000686645508,19.950000762939453,134042200,13.793965339660645,0.0,,BBSE3,01-09-2021
19.989999771118164,22.8700008392334,19.43000030517578,22.09000015258789,134020100,15.273616790771484,0.0,,BBSE3,01-10-2021
22.389999389648438,23.549999237060547,20.760000228881836,20.8799991607666,89537700,14.436989784240723,0.0,,BBSE3,01-11-2021
21.1200008392334,21.899999618530273,20.100000381469727,20.8799991607666,91236700,14.436989784240723,0.0,,BBSE3,01-12-2021
20.920000076293945,23.25,19.010000228881836,23.139999389648438,119613500,15.999614715576172,0.0,,BBSE3,01-01-2022
23.100000381469727,24.690000534057617,22.049999237060547,23.040000915527344,119704800,15.930473327636719,0.930048,,BBSE3,01-02-2022
23.040000915527344,25.690000534057617,21.780000686645508,25.559999465942383,114931800,18.374385833740234,0.0,,BBSE3,01-03-2022
25.68000030517578,26.989999771118164,25.1299991607666,25.43000030517578,116115100,18.280935287475586,0.0,,BBSE3,01-04-2022
25.209999084472656,26.940000534057617,24.459999084472656,26.8799991607666,97991500,19.323299407958984,0.0,,BBSE3,01-05-2022
26.889999389648438,26.90999984741211,24.190000534057617,25.959999084472656,101571500,18.661935806274414,0.0,,BBSE3,01-06-2022
25.989999771118164,29.1200008392334,24.860000610351562,28.989999771118164,98713100,20.840120315551758,0.0,,BBSE3,01-07-2022
28.989999771118164,30.959999084472656,27.780000686645508,28.280000686645508,115722900,20.329721450805664,1.036045,,BBSE3,01-08-2022
28.5,30.3700008392334,25.899999618530273,26.56999969482422,135816800,19.778522491455078,0.0,,BBSE3,01-09-2022
26.780000686645508,29.799999237060547,26.56999969482422,29.690000534057617,145881000,22.101030349731445,0.0,,BBSE3,01-10-2022
29.579999923706055,32.25,29.06999969482422,31.31999969482422,163699200,23.31439208984375,0.0,,BBSE3,01-11-2022
31.100000381469727,34.34000015258789,30.010000228881836,33.709999084472656,122258700,25.093490600585938,0.0,,BBSE3,01-12-2022
33.349998474121094,38.27000045776367,32.06999969482422,37.779998779296875,122759300,28.123170852661133,0.0,,BBSE3,01-01-2023
37.779998779296875,37.939998626708984,33.880001068115234,34.209999084472656,121150700,25.465688705444336,1.878577,,BBSE3,01-02-2023
34.209999084472656,35.349998474121094,31.969999313354492,32.5099983215332,119636100,25.510684967041016,0.0,,BBSE3,01-03-2023
32.5099983215332,35.810001373291016,31.899999618530273,34.310001373291016,91016300,26.923152923583984,0.0,,BBSE3,01-04-2023
34.310001373291016,34.54999923706055,30.290000915527344,30.93000030517578,142170300,24.270858764648438,0.0,,BBSE3,01-05-2023
31.010000228881836,31.43000030517578,29.209999084472656,30.770000457763672,155909900,24.145305633544922,0.0,,BBSE3,01-06-2023
31.100000381469727,32.0099983215332,29.799999237060547,31.1200008392334,108057500,24.419952392578125,0.0,,BBSE3,01-07-2023
31.1200008392334,32.939998626708984,29.440000534057617,30.3799991607666,116905500,23.839269638061523,1.607637,,BBSE3,01-08-2023
30.559999465942383,32.220001220703125,30.5,31.209999084472656,91062200,25.763412475585938,0.0,,BBSE3,01-09-2023
31.25,32.619998931884766,30.530000686645508,30.760000228881836,86068800,25.391944885253906,0.0,,BBSE3,01-10-2023
30.760000228881836,32.380001068115234,30.709999084472656,31.299999237060547,106859300,25.83770751953125,0.0,,BBSE3,01-11-2023
31.239999771118164,33.650001525878906,30.1299991607666,33.650001525878906,118526600,27.777599334716797,0.0,,BBSE3,01-12-2023
33.650001525878906,34.97999954223633,32.97999954223633,34.25,94614800,28.272891998291016,0.0,,BBSE3,01-01-2024
34.2599983215332,36.09000015258789,32.099998474121094,33.34000015258789,107614500,27.52170181274414,1.261289,,BBSE3,01-02-2024
33.349998474121094,33.849998474121094,31.8700008392334,32.52000045776367,91331500,27.86346435546875,0.0,,BBSE3,01-03-2024
32.58000183105469,33.540000915527344,31.950000762939453,32.20000076293945,104216100,27.58928680419922,0.0,,BBSE3,01-04-2024
32.20000076293945,34.529998779296875,32.11000061035156,32.29999923706055,104411100,27.674964904785156,0.0,,BBSE3,01-05-2024
32.220001220703125,33.79999923706055,31.899999618530273,32.93000030517578,87353400,28.21475601196289,0.0,,BBSE3,01-06-2024
32.97999954223633,35.18000030517578,32.61000061035156,35.16999816894531,84174200,30.134008407592773,0.0,,BBSE3,01-07-2024
35.279998779296875,37.650001525878906,33.470001220703125,36.72999954223633,117076900,31.47063636779785,1.390909,,BBSE3,01-08-2024
36.869998931884766,37.58000183105469,34.849998474121094,35.5,82456000,31.595252990722656,0.0,,BBSE3,01-09-2024
35.630001068115234,36.220001220703125,33.630001068115234,34.27000045776367,101268400,30.50054359436035,0.0,,BBSE3,01-10-2024
34.54999923706055,35.31999969482422,33.2599983215332,33.529998779296875,82529500,29.841938018798828,0.0,,BBSE3,01-11-2024
33.52000045776367,37.75,33.369998931884766,36.18000030517578,108573400,32.20045852661133,0.0,,BBSE3,01-12-2024
36.18000030517578,39.279998779296875,35.720001220703125,38.540000915527344,99693000,34.30087661743164,0.0,,BBSE3,01-01-2025
38.540000915527344,40.22999954223633,36.619998931884766,37.84000015258789,129280900,33.67787170410156,2.320161,,BBSE3,01-02-2025
37.84000015258789,40.70000076293945,37.810001373291016,40.29999923706055,87060900,38.084075927734375,0.0,,BBSE3,01-03-2025
40.29999923706055,42.77000045776367,38.97999954223633,42.77000045776367,93438100,40.41826248168945,0.0,,BBSE3,01-04-2025
42.77000045776367,42.77000045776367,37.310001373291016,37.5099983215332,121826000,35.44748306274414,0.0,,BBSE3,01-05-2025
37.68000030517578,37.79999923706055,34.7599983215332,35.79999923706055,113209500,33.831512451171875,0.0,,BBSE3,01-06-2025
36.47999954223633,36.939998626708984,33.36000061035156,33.70000076293945,127805600,31.846982955932617,0.0,,BBSE3,01-07-2025
33.939998626708984,35.58000183105469,31.530000686645508,32.81999969482422,145388200,31.015369415283203,1.942095,,BBSE3,01-08-2025
32.939998626708984,33.599998474121094,31.850000381469727,33.2599983215332,142783300,33.2599983215332,0.0,,BBSE3,01-09-2025
33.33000183105469,33.599998474121094,31.68000030517578,32.849998474121094,87700900,32.849998474121094,0.0,,BBSE3,01-10-2025
