ATIVO,VALOR,DATA COM,DATA PAGAMENTO,TIPO,DY
MRVE3,0.27,2021-04-29,2021-05-11,Dividendo,1.52
BRAP4,0.72,2021-03-31,2021-05-12,JCP,1.06
BRAP4,2.71,2021-03-31,2021-05-12,Dividendo,3.96
CSNA3,0.65,2021-04-30,2021-05-12,Dividendo,1.35
SLCE3,0.53,2021-04-29,2021-05-13,Dividendo,1.03
VIVA3,0.1,2020-12-29,2021-05-14,JCP,0.37
VIVA3,0.05,2021-04-30,2021-05-14,Dividendo,0.21
ALOS3,0.22,2021-04-28,2021-05-17,Dividendo,0.84
HAPV3,0.03,2021-05-05,2021-05-17,Dividendo,0.25
RDOR3,0.07,2021-03-31,2021-05-18,JCP,0.12
CSAN3,0.25,2021-05-05,2021-05-20,Dividendo,0.29
TOTS3,0.09,2021-04-20,2021-05-20,Dividendo,0.29
TOTS3,0.1,2020-12-21,2021-05-20,JCP,0.36
ISAE4,0.79,2021-03-30,2021-05-21,Dividendo,3.03
ISAE4,0.8,2021-02-25,2021-05-21,Dividendo,3.06
RENT3,0.08,2021-03-29,2021-05-21,JCP,0.15
RENT3,0.02,2021-04-30,2021-05-21,Dividendo,0.04
GGBR4,0.4,2021-05-14,2021-05-26,Dividendo,1.17
GOAU4,0.21,2021-05-14,2021-05-27,Dividendo,1.38
TAEE11,1.63,2021-05-04,2021-05-27,Dividendo,3.86
TAEE11,0.18,2021-05-18,2021-05-27,JCP,0.46
TAEE11,1.16,2021-05-18,2021-05-27,Dividendo,2.87
BBAS3,0.03,2021-05-21,2021-05-28,Dividendo,0.11
BBAS3,0.17,2021-05-21,2021-05-28,JCP,0.52
RADL3,0.03,2020-09-24,2021-05-31,JCP,0.13
RADL3,0.02,2020-12-16,2021-05-31,JCP,0.11
USIM5,0.13,2021-04-29,2021-05-31,Dividendo,0.58
BBDC3,0.01,2021-05-03,2021-06-01,JCP,0.08
BBDC4,0.01,2021-05-03,2021-06-01,JCP,0.08
ITUB4,0.01,2021-04-30,2021-06-01,Dividendo,0.05
SANB11,0.8,2021-05-07,2021-06-02,Dividendo,2.06
ASAI3,0.06,2021-04-28,2021-06-07,Dividendo,0.08
USIM5,0.0,2021-05-25,2021-06-07,Dividendo,0.03
DIRR3,0.23,2021-05-19,2021-06-11,Dividendo,1.59
CYRE3,1.08,2021-04-23,2021-06-14,Dividendo,4.27
PCAR3,0.47,2021-05-05,2021-06-15,Dividendo,1.21
PCAR3,1.7,2021-05-05,2021-06-15,JCP,4.34
CPFE3,1.5,2021-04-30,2021-06-21,Dividendo,5.12
SBSP3,0.39,2021-04-29,2021-06-28,JCP,0.93
BBAS3,0.08,2021-06-11,2021-06-30,JCP,0.24
CMIG4,0.03,2020-09-25,2021-06-30,JCP,0.37
CMIG4,0.3,2021-04-30,2021-06-30,Dividendo,2.21
CMIG4,0.14,2020-12-30,2021-06-30,JCP,0.98
VALE3,0.71,2021-06-23,2021-06-30,Dividendo,0.63
VALE3,1.47,2021-06-23,2021-06-30,Dividendo,1.3
BBDC3,0.01,2021-06-01,2021-07-01,JCP,0.07
BBDC4,0.01,2021-06-01,2021-07-01,JCP,0.07
ITSA4,0.02,2021-05-31,2021-07-01,Dividendo,0.18
ITUB4,0.01,2021-05-31,2021-07-01,Dividendo,0.05
RDOR3,0.07,2021-06-21,2021-07-05,JCP,0.12
B3SA3,0.04,2021-06-29,2021-07-07,JCP,0.27
B3SA3,0.16,2021-06-29,2021-07-07,Dividendo,1.0
BBDC3,0.49,2021-07-02,2021-07-12,JCP,2.25
BBDC4,0.53,2021-07-02,2021-07-12,JCP,2.1
EGIE3,0.74,2021-05-11,2021-07-12,Dividendo,1.89
VIVT3,0.07,2020-02-28,2021-07-13,JCP,0.16
VIVT3,0.04,2020-03-31,2021-07-13,JCP,0.08
VIVT3,0.24,2020-06-30,2021-07-13,JCP,0.52
VIVT3,0.18,2020-09-28,2021-07-13,JCP,0.39
VIVT3,0.11,2020-11-27,2021-07-13,JCP,0.27
VIVT3,0.07,2020-12-28,2021-07-13,JCP,0.17
ISAE4,0.5,2021-07-06,2021-07-15,Dividendo,1.97
TIMS3,0.14,2021-06-21,2021-07-20,JCP,1.14
BRAP4,1.78,2021-07-15,2021-07-26,Dividendo,2.23
AZZA3,0.02,2021-04-29,2021-07-30,Dividendo,0.03
AZZA3,0.29,2021-07-01,2021-07-30,JCP,0.32
