open,high,low,close,volume,adjclose,dividends,splits,Ativo,Data
14.892560958862305,17.42148780822754,14.644627571105957,15.016528129577637,153566908,10.852749824523926,0.014255,0.0,BBDC3,01-10-2020
15.016528129577637,19.18181800842285,15.016528129577637,17.892560958862305,138000379,12.943681716918945,0.014255,0.0,BBDC3,01-11-2020
18.107437133789062,20.785123825073242,18.099172592163086,20.0,127334592,14.481637001037598,0.014255,0.0,BBDC3,01-12-2020
20.0,20.785123825073242,17.48760223388672,17.884296417236328,137223680,13.15771770477295,0.312001,0.0,BBDC3,01-01-2021
18.20661163330078,19.14049530029297,16.842975616455078,17.01652717590332,147883054,12.52844524383545,0.014255,0.0,BBDC3,01-02-2021
17.11570167541504,19.917354583740234,15.785122871398926,19.429752349853516,190512080,14.329047203063965,0.014255,0.0,BBDC3,01-03-2021
19.471073150634766,19.672727584838867,18.198347091674805,18.790908813476562,125485657,13.869921684265137,0.016394,1.1,BBDC3,01-04-2021
19.09090805053711,20.945453643798828,18.3454532623291,20.781818389892578,153581670,15.351112365722656,0.014255,0.0,BBDC3,01-05-2021
20.936363220214844,22.336362838745117,19.77272605895996,19.872726440429688,217259350,14.69150447845459,0.014255,0.0,BBDC3,01-06-2021
19.818180084228516,19.990909576416016,18.64545440673828,18.77272605895996,142547900,13.888590812683105,0.015681,0.0,BBDC3,01-07-2021
18.96363639831543,19.454544067382812,17.563636779785156,18.12727165222168,152037050,13.727799415588379,0.015681,0.0,BBDC3,01-08-2021
18.172727584838867,18.399999618530273,14.954545021057129,16.23636245727539,160638390,12.306005477905273,0.015681,0.0,BBDC3,01-09-2021
16.318180084228516,16.918180465698242,15.245453834533691,15.454545021057129,175334060,11.723579406738281,0.445461,0.0,BBDC3,01-10-2021
15.618181228637695,16.718181610107422,14.981818199157715,15.472726821899414,181416950,11.748478889465332,0.015681,0.0,BBDC3,01-11-2021
15.67272663116455,16.80908966064453,14.600000381469727,14.718180656433105,172222160,11.186545372009277,0.015681,0.0,BBDC3,01-12-2021
14.800000190734863,17.227272033691406,14.800000190734863,17.09090805053711,167685870,13.175660133361816,0.015681,0.0,BBDC3,01-01-2022
17.045454025268555,17.290908813476562,15.0,15.509090423583984,212095840,11.96868896484375,0.015681,0.0,BBDC3,01-02-2022
15.509090423583984,17.027271270751953,14.690909385681152,16.60909080505371,248017220,12.829351425170898,0.015681,0.0,BBDC3,01-03-2022
16.718181610107422,16.763635635375977,14.800000190734863,14.90999984741211,143834380,11.528580665588379,0.196595,1.1,BBDC3,01-04-2022
14.90999984741211,16.920000076293945,14.430000305175781,16.8799991607666,207893000,13.06421947479248,0.015681,0.0,BBDC3,01-05-2022
