open,high,low,close,volume,adjclose,dividends,splits,Ativo,Data,Tipo
24.350000381469727,26.049999237060547,23.61000061035156,23.68000030517578,88234500.0,15.714323043823242,0.0,,BBSE3,01-10-2020,Ação
23.68000030517578,29.799999237060547,23.68000030517578,28.559999465942383,120982300.0,18.95274543762207,0.0,,BBSE3,01-11-2020,Ação
29.0,30.76000022888184,28.26000022888184,29.6299991607666,70198700.0,19.66280937194824,0.0,,BBSE3,01-12-2020,Ação
29.6299991607666,30.450000762939453,27.65999984741211,27.65999984741211,86915800.0,18.35549545288086,0.0,,BBSE3,01-01-2021,Ação
28.0,29.0,25.43000030517578,25.43000030517578,89982600.0,16.875642776489258,0.476121,,BBSE3,01-02-2021,Ação
25.68000030517578,25.700000762939453,23.520000457763672,24.25,194654200.0,16.36463165283203,0.0,,BBSE3,01-03-2021,Ação
24.51000022888184,24.59000015258789,22.190000534057617,22.32999992370605,143558900.0,15.068955421447754,0.0,,BBSE3,01-04-2021,Ação
22.6299991607666,23.770000457763672,21.959999084472656,23.399999618530277,105271100.0,15.791025161743164,0.0,,BBSE3,01-05-2021,Ação
23.450000762939453,25.56999969482422,23.100000381469727,23.100000381469727,128806800.0,15.588576316833496,0.0,,BBSE3,01-06-2021,Ação
23.149999618530277,23.420000076293945,21.299999237060547,21.3700008392334,140002100.0,14.42112159729004,0.0,,BBSE3,01-07-2021,Ação
21.59000015258789,21.88999938964844,18.86000061035156,19.059999465942383,153494200.0,12.862260818481444,0.520874,,BBSE3,01-08-2021,Ação
19.100000381469727,20.649999618530277,18.280000686645508,19.950000762939453,134042200.0,13.793963432312012,0.0,,BBSE3,01-09-2021,Ação
19.989999771118164,22.8700008392334,19.43000030517578,22.09000015258789,134020100.0,15.273616790771484,0.0,,BBSE3,01-10-2021,Ação
22.38999938964844,23.549999237060547,20.76000022888184,20.8799991607666,89537700.0,14.43699073791504,0.0,,BBSE3,01-11-2021,Ação
21.1200008392334,21.899999618530277,20.100000381469727,20.8799991607666,91236700.0,14.43699073791504,0.0,,BBSE3,01-12-2021,Ação
20.920000076293945,23.25,19.01000022888184,23.13999938964844,119613500.0,15.999610900878906,0.0,,BBSE3,01-01-2022,Ação
23.100000381469727,24.690000534057617,22.049999237060547,23.040000915527344,119704800.0,15.930472373962402,0.930048,,BBSE3,01-02-2022,Ação
23.040000915527344,25.690000534057617,21.780000686645508,25.559999465942383,114931800.0,18.374387741088867,0.0,,BBSE3,01-03-2022,Ação
25.68000030517578,26.989999771118164,25.1299991607666,25.43000030517578,116115100.0,18.280933380126957,0.0,,BBSE3,01-04-2022,Ação
25.209999084472656,26.940000534057617,24.459999084472656,26.8799991607666,97991500.0,19.323301315307617,0.0,,BBSE3,01-05-2022,Ação
26.88999938964844,26.90999984741211,24.190000534057617,25.959999084472656,101571500.0,18.66193580627441,0.0,,BBSE3,01-06-2022,Ação
25.989999771118164,29.1200008392334,24.86000061035156,28.989999771118164,98713100.0,20.84012031555176,0.0,,BBSE3,01-07-2022,Ação
28.989999771118164,30.959999084472656,27.780000686645508,28.280000686645508,115722900.0,20.329721450805664,1.036045,,BBSE3,01-08-2022,Ação
28.5,30.3700008392334,25.899999618530277,26.56999969482422,135816800.0,19.77852439880371,0.0,,BBSE3,01-09-2022,Ação
26.780000686645508,29.799999237060547,26.56999969482422,29.690000534057617,145881000.0,22.10103225708008,0.0,,BBSE3,01-10-2022,Ação
29.57999992370605,32.25,29.06999969482422,31.31999969482422,163699200.0,23.31439208984375,0.0,,BBSE3,01-11-2022,Ação
31.100000381469727,34.34000015258789,30.01000022888184,33.709999084472656,122258700.0,25.093490600585938,0.0,,BBSE3,01-12-2022,Ação
33.349998474121094,38.27000045776367,32.06999969482422,37.77999877929688,122759300.0,28.12317276000977,0.0,,BBSE3,01-01-2023,Ação
37.77999877929688,37.93999862670898,33.880001068115234,34.209999084472656,121150700.0,25.465686798095703,1.878577,,BBSE3,01-02-2023,Ação
34.209999084472656,35.349998474121094,31.96999931335449,32.5099983215332,119636100.0,25.51068687438965,0.0,,BBSE3,01-03-2023,Ação
32.5099983215332,35.810001373291016,31.899999618530277,34.310001373291016,91016300.0,26.923154830932617,0.0,,BBSE3,01-04-2023,Ação
34.310001373291016,34.54999923706055,30.290000915527344,30.93000030517578,142170300.0,24.270856857299805,0.0,,BBSE3,01-05-2023,Ação
31.01000022888184,31.43000030517578,29.209999084472656,30.770000457763672,155909900.0,24.14530563354492,0.0,,BBSE3,01-06-2023,Ação
31.100000381469727,32.0099983215332,29.799999237060547,31.1200008392334,108057500.0,24.41995048522949,0.0,,BBSE3,01-07-2023,Ação
