ATIVO,VALOR,DATA COM,DATA PAGAMENTO,TIPO,DY
BBDC3,0.01,2022-12-01,2023-01-02,JCP,0.13
BBDC4,0.01,2022-12-01,2023-01-02,JCP,0.12
HYPE3,0.3,2022-03-28,2023-01-02,JCP,0.8
HYPE3,0.3,2022-09-28,2023-01-02,JCP,0.68
HYPE3,0.3,2022-06-27,2023-01-02,JCP,0.8
HYPE3,0.3,2022-12-22,2023-01-02,JCP,0.69
ITSA4,0.02,2022-11-30,2023-01-02,JCP,0.27
ITUB4,0.01,2022-11-30,2023-01-02,JCP,0.07
LREN3,0.18,2022-12-21,2023-01-06,JCP,0.86
DIRR3,0.23,2022-12-16,2023-01-09,Dividendo,1.59
B3SA3,0.06,2022-12-29,2023-01-13,JCP,0.48
SLCE3,0.17,2022-12-26,2023-01-13,JCP,0.38
STBP3,0.01,2022-12-20,2023-01-16,JCP,0.2
PETR3,0.01,2022-11-21,2023-01-19,Rend. Tributado,0.04
PETR3,0.0,2022-11-21,2023-01-19,Rend. Tributado,0.0
PETR3,0.07,2022-11-21,2023-01-19,JCP,0.25
PETR3,1.6,2022-11-21,2023-01-19,Dividendo,5.33
PETR4,0.01,2022-11-21,2023-01-19,Rend. Tributado,0.05
PETR4,0.0,2022-11-21,2023-01-19,Rend. Tributado,0.0
PETR4,0.07,2022-11-21,2023-01-19,JCP,0.28
PETR4,1.6,2022-11-21,2023-01-19,Dividendo,6.05
TAEE11,1.33,2023-01-10,2023-01-23,Dividendo,3.73
TIMS3,0.18,2022-12-21,2023-01-24,JCP,1.5
TOTS3,0.21,2022-12-29,2023-01-27,JCP,0.75
AZZA3,0.74,2022-12-16,2023-01-30,JCP,0.99
TIMS3,0.1,2022-09-21,2023-01-31,JCP,0.86
BBDC3,0.01,2023-01-02,2023-02-01,JCP,0.13
BBDC4,0.01,2023-01-02,2023-02-01,JCP,0.13
ITUB4,0.01,2022-12-29,2023-02-01,JCP,0.07
RENT3,0.36,2022-12-21,2023-02-13,JCP,0.69
BPAC11,0.19,2022-12-16,2023-02-15,JCP,0.92
BPAC11,0.14,2023-01-04,2023-02-15,JCP,0.68
CURY3,0.2,2023-01-24,2023-02-16,Dividendo,1.62
ASAI3,0.03,2022-12-28,2023-02-17,JCP,0.19
KLBN11,0.03,2022-12-20,2023-02-22,JCP,0.17
KLBN11,0.31,2023-02-13,2023-02-24,Dividendo,1.6
VBBR3,0.39,2022-12-21,2023-02-28,JCP,2.57
BBDC3,0.01,2023-02-01,2023-03-01,JCP,0.14
BBDC4,0.01,2023-02-01,2023-03-01,JCP,0.14
BBSE3,1.83,2023-02-14,2023-03-01,Dividendo,5.05
BBSE3,0.03,2023-02-14,2023-03-01,Rend. Tributado,0.11
ITUB4,0.01,2023-01-31,2023-03-01,JCP,0.07
BBAS3,0.11,2023-02-23,2023-03-03,Dividendo,0.28
BBAS3,0.28,2023-02-23,2023-03-03,JCP,0.69
BBAS3,0.0,2023-02-23,2023-03-03,Rend. Tributado,0.01
BBAS3,0.0,2023-02-23,2023-03-03,Rend. Tributado,0.02
UGPA3,0.1,2023-02-23,2023-03-03,Dividendo,0.74
SANB11,0.45,2023-01-26,2023-03-06,JCP,1.58
BBDC3,0.53,2023-01-06,2023-03-08,JCP,4.03
BBDC4,0.58,2023-01-06,2023-03-08,JCP,3.98
ITSA4,0.14,2022-12-08,2023-03-10,JCP,1.66
ITUB4,0.48,2022-12-08,2023-03-10,JCP,1.9
IGTI11,0.09,2023-03-03,2023-03-15,Dividendo,0.49
WEGE3,0.04,2022-09-23,2023-03-15,JCP,0.14
WEGE3,0.22,2023-02-17,2023-03-15,Dividendo,0.58
WEGE3,0.05,2022-12-16,2023-03-15,JCP,0.15
VALE3,1.82,2023-03-13,2023-03-22,Dividendo,2.15
VALE3,0.29,2022-12-12,2023-03-22,JCP,0.33
GGBR4,0.2,2023-03-14,2023-03-23,Dividendo,0.74
GOAU4,0.1,2023-03-14,2023-03-24,Dividendo,0.83
